file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00323_0431_1710503_to_1713506,གཉིས་པ་ཞར་ལ་དུས་གསུམ་གྱི་རྣམ་གཞག་དཔྱད་པ་ལ།  ,gnyis pa zhar la dus gsum gyi rnam gzhag dpyad pa la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0431_1710503_to_1713506.wav,STT_AB,2,44,3.003,wav16k/STT_AB00323_0431_1710503_to_1713506.wav,གཉིས་པ་ཞར་ལ་དུས་གསུམ་གྱི་རྣམ་གཞག་དཔྱད་པ་ལ།
STT_AB00323_0424_1665008_to_1673899,ཡུལ་གང་ལ་ཉོན་མོངས་གསུམ་པོ་དེ་སྐྱེས་ནས་མ་སྤངས་ཀྱི་བར་དུ་ཡུལ་དངོས་པོ་དེ་དང་གང་ཟག་དེ་ལྡན་པར་བྱེད་པ་ཡིན།  ,yul gang la nyon mongs gsum po de skyes nas ma spangs kyi bar du yul dngos po de dang gang zag de ldan par byed pa yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0424_1665008_to_1673899.wav,STT_AB,2,102,8.891,wav16k/STT_AB00323_0424_1665008_to_1673899.wav,ཡུལ་གང་ལ་ཉོན་མོངས་གསུམ་པོ་དེ་སྐྱེས་ནས་མ་སྤངས་ཀྱི་བར་དུ་ཡུལ་དངོས་པོ་དེ་དང་གང་ཟག་དེ་ལྡན་པར་བྱེད་པ་ཡིན།
STT_AB00323_0428_1693506_to_1697278,དེ་མི་སྐྱེ་བའི་ཆོས་ཅན་རྣམས་ཀྱིས་ཡུལ་དུས་གསུམ་པོ་ཐམས་ཅད་དང་ ,de mi skye ba'i chos can rnams kyis yul dus gsum po thams cad dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0428_1693506_to_1697278.wav,STT_AB,2,59,3.772,wav16k/STT_AB00323_0428_1693506_to_1697278.wav,དེ་མི་དགེ་བའི་ཆོས་ཅན་རྣམས་ཀྱི་ཡུལ་དུས་གསུམ་པོ་ཐམས་ཅད་དང་
STT_AB00323_0430_1700571_to_1709018,ལྷག་མ་མ་རིག་པ་ཐེ་ཚོམ་ལྟ་བ་ཀུན་གྱིས་ཡུལ་དུས་གསུམ་པོ་ཀུན་དང་གང་ཟག་དེ་ལྡན་པར་བྱེད་དེ། ཉོན་མོངས་སྤྱི་པ་ཡིན་པའི་ཕྱིར།  ,lhag ma ma rig pa the tshom lta ba kun gyis yul dus gsum po kun dang gang zag de ldan par byed de/_nyon mongs spyi pa yin pa'i phyir/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0430_1700571_to_1709018.wav,STT_AB,2,114,8.447,wav16k/STT_AB00323_0430_1700571_to_1709018.wav,ལྷག་མ་མ་རིག་པ་ཐེ་ཚོམ་ལྟ་བ་ཀུན་གྱི་ཡུལ་དུས་གསུམ་པོ་ཀུན་དང་གང་ཟག་དེ་ལྡན་པར་བྱེས་ཏེ་ཉོན་མོངས་སྤྱི་པ་ཡིན་པའི་ཕྱིར།
STT_AB00323_0445_1762346_to_1771646,འཕགས་པ་ཉན་ཐོས་ཐོས་པ་དང་ལྡན་པ་འདས་པའི་གཟུགས་ལ་མི་ལྟ་བ་བཞིན་ནོ། ཞེས་སོགས་དང་། གང་གི་ཕྱིར་མ་འོངས་པའི་གཟུགས་ཡོད་པ་དེའི་ཕྱིར་ ,'phags pa nyan thos thos pa dang ldan pa 'das pa'i gzugs la mi lta ba bzhin no/_zhes sogs dang /_gang gi phyir ma 'ongs pa'i gzugs yod pa de'i phyir _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0445_1762346_to_1771646.wav,STT_AB,2,121,9.3,wav16k/STT_AB00323_0445_1762346_to_1771646.wav,འཕགས་པ་ཉན་ཐོས་ཐོས་པ་དང་ལྡན་པ་འདས་པའི་གཟུགས་ལ་མི་ལྟ་བ་བཞིན་ནོ། ཞེས་སོགས་དང་། གང་གི་ཕྱིར་མ་འོངས་པའི་གཟུགས་ཡོད་པ་དེའི་ཕྱིར་
STT_AB00323_0447_1778575_to_1779854,ཞེས་གསུངས་པའི་ཕྱིར་དང་།  ,zhes gsungs pa'i phyir dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0447_1778575_to_1779854.wav,STT_AB,2,25,1.279,wav16k/STT_AB00323_0447_1778575_to_1779854.wav,ཞེས་གསུངས་པའི་ཕྱིར་དང་།
STT_AB00323_0449_1785742_to_1790213,རྣམ་པར་ཤེས་པ་ཡུལ་དང་དབང་པོ་གཉིས་ལ་བརྟེན་ནས་སྐྱེ་བར་བཤད་པའི་ཕྱིར་དང་།  ,rnam par shes pa yul dang dbang po gnyis la brten nas skye bar bshad pa'i phyir dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0449_1785742_to_1790213.wav,STT_AB,2,70,4.471,wav16k/STT_AB00323_0449_1785742_to_1790213.wav,རྣམ་པར་ཤེས་པ་ཡུལ་དང་དབང་པོ་གཉིས་ལ་བརྟེན་ནས་སྐྱེ་བར་བཤད་པའི་ཕྱིར་དང་།
STT_AB00323_0441_1743745_to_1751151,དུས་རྣམས་ཀུན་ཏུ་རྫས་སུ་ཡོད་ལ། འོན་ཀྱང་རྟག་པར་ཐལ་བའི་སྐྱོན་མེད་དེ། འདུས་བྱས་ཀྱི་མཚན་ཉིད་དང་ལྡན་པའི་ཕྱིར།  ,dus rnams kun tu rdzas su yod la/_'on kyang rtag par thal ba'i skyon med de/_'dus byas kyi mtshan nyid dang ldan pa'i phyir/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0441_1743745_to_1751151.wav,STT_AB,2,105,7.406,wav16k/STT_AB00323_0441_1743745_to_1751151.wav,དུས་རྣམས་ཀུན་ཏུ་རྫས་སུ་ཡོད་ལ། ཡོད་ཀྱང་རྟག་པར་ཐལ་བའི་སྐྱོན་མེད་དེ། འདུས་བྱས་ཀྱི་མཚན་ཉིད་དང་ལྡན་པའི་ཕྱིར།
STT_AB00323_0451_1795537_to_1802175,དེས་ན་དུས་གསུམ་པོ་ཐམས་ཅད་ད་ལྟ་རྫས་སུ་ཡོད་པར་སྨྲ་བའི་ཕྱིར་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བ་ཡིན་གྱི།  ,des na dus gsum po thams cad da lta rdzas su yod par smra ba'i phyir gzhi thams cad yod par smra ba yin gyi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0451_1795537_to_1802175.wav,STT_AB,2,91,6.638,wav16k/STT_AB00323_0451_1795537_to_1802175.wav,དེས་ན་དུས་གསུམ་པོ་ཐམས་ཅད་ད་ལྟ་རྫས་སུ་ཡོད་པར་སྨྲ་བའི་ཕྱིར་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བ་ཡིན་གྱི།
STT_AB00323_0452_1802824_to_1815810,ད་ལྟ་བ་འབྲས་བུ་ཕྱུང་མ་ཟིན་པ་ཙམ་ཞིག་རྫས་སུ་ཡོད་ལ། མ་འོངས་པ་དང་འབྲས་བུ་ཕྱུང་ཟིན་པ་རྫས་སུ་མེད་པར་སྨྲ་བ་ནི་ཕྱོགས་རེ་ཡོད་པར་སྨྲ་བ་ཡིན་གྱི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བ་མ་ཡིན་ནོ།  ,da lta ba 'bras bu phyung ma zin pa tsam zhig rdzas su yod la/_ma 'ongs pa dang 'bras bu phyung zin pa rdzas su med par smra ba ni phyogs re yod par smra ba yin gyi thams cad yod par smra ba ma yin no/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00323_0452_1802824_to_1815810.wav,STT_AB,2,164,12.986,wav16k/STT_AB00323_0452_1802824_to_1815810.wav,ད་ལྟར་བ་འབྲས་བུ་ཆུང་མ་ཟིན་ཙམ་ཞིག་རྫས་སུ་ཡོད་ལ། མ་འོངས་པ་དང་འབྲས་བུ་ྱུང་ཟིན་པ་རྫས་སུ་མེད་པར་སྨྲ་བ་ནི་ཕྱོགས་རེ་ཡོད་པར་སྨྲ་བ་ཡིན་གྱི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བ་མ་ཡིན་ནོ།
